分类器,降维方法,测试准确率,交叉验证均值,交叉验证标准差,训练时间(秒)
SVM (RBF核),无(原始64维),0.9814814814814815,0.9817017643710871,0.007807863418517349,0.0377655029296875
SVM (RBF核),PCA(2维),0.55,0.5767912477075823,0.021570873324277387,0.021156787872314453
SVM (RBF核),t-SNE(2维),0.9537037037037037,0.9474830835388606,0.011941397234016323,0.011227607727050781
KNN (k=5),无(原始64维),0.9703703703703703,0.9673654587997218,0.01221499162805154,0.0006291866302490234
KNN (k=5),PCA(2维),0.5148148148148148,0.5385948270410421,0.008058002360726645,0.0011239051818847656
KNN (k=5),t-SNE(2维),0.9703703703703703,0.9681591095933726,0.01211348355976087,0.0008759498596191406
随机森林,无(原始64维),0.9685185185185186,0.9737431227471068,0.0048000356901908995,0.24874067306518555
随机森林,PCA(2维),0.5037037037037037,0.5234838424081452,0.009725999914385402,0.1998441219329834
随机森林,t-SNE(2维),0.9740740740740741,0.9721368494276861,0.013354036945103906,0.15888547897338867
