feature,mean_before_standardization,std_before_standardization
trial_count,2.93627450980392,3.19803785951232
phase3_trial_count,1.59803921568627,2.04510615630895
success_rate,0.573097966847967,0.29892491536694
failure_rate,0.287224424540601,0.285684989323535
avg_enrollment_n,706.994279712662,351.193907190224
avg_duration_months,26.9115055967997,6.47195598998699
avg_stock_impact_pct,0.786083097866186,7.07847922613845
approval_count,3.53921568627451,4.88220165272603
blockbuster_count,0.75,1.18747569329544
mega_blockbuster_count,0.205882352941176,0.482975900103862
avg_peak_sales_usd_bn_est,1.05698279418582,1.52414670484707
total_peak_sales_usd_bn_est,4.15450980392157,7.97665703123759
biologic_approval_count,1.06862745098039,1.82354499078853
small_molecule_approval_count,1.97549019607843,2.98673376387285
disease_burden_global_millions,155.44362745098,163.621679187317
disease_burden_regional_sum_millions,157.845882352941,166.259115673511
mapped_disease_count,1.37254901960784,1.49166200576979
funding_deal_count,71,28.0941415276805
funding_megadeal_count,2.76470588235294,2.18898483157642
funding_total_usd_bn,110.689117647059,79.297457294576
funding_avg_value_usd_bn,1.44371693969142,0.921995629598223
pharma_company_count,28.7647058823529,1.43959812802446
pharma_revenue_total_usd_bn,822.577647058824,169.258571580732
pharma_operating_margin_avg_pct,25.4541682826977,1.56512899826861
pharma_rd_spend_total_usd_bn,135.285882352941,29.8190917899625
pharma_pipeline_total_est,1698.17647058824,146.066953523444
